file,level,segment,tone,tone_label,majority,p_neg,p_neu,p_pos,confidence,coverage,n_clean,n_total,flag_review,reason
7770.srt,segment,144-155,neu,neutral,neu,0.091,0.818,0.091,0.863,0.917,11,12,False,
7770.srt,segment,156-167,neg,negative-leaning,neu,0.333,0.667,0.0,0.905,0.75,9,12,False,
7770.srt,segment,168-179,neg,negative-leaning,neu,0.4,0.6,0.0,0.906,0.833,10,12,False,
7770.srt,segment,180-191,neg,negative-leaning,neg,0.5,0.5,0.0,0.895,0.667,8,12,False,
7770.srt,segment,192-203,neg,negative-leaning,neu,0.333,0.556,0.111,0.924,0.75,9,12,False,
7770.srt,segment,204-209,neu,neutral,neu,0.167,0.833,0.0,0.863,1.0,6,6,False,
8.srt,programme,-,neg,negative-leaning,neu,0.426,0.528,0.046,0.886,0.864,108,125,False,
8.srt,segment,0-11,neg,negative-leaning,neg,0.556,0.444,0.0,0.848,0.75,9,12,False,
8.srt,segment,12-23,neg,negative-leaning,neu,0.4,0.5,0.1,0.916,0.833,10,12,False,
8.srt,segment,24-35,neg,negative-leaning,neg,0.583,0.333,0.083,0.862,1.0,12,12,False,
8.srt,segment,36-47,neg,negative-leaning,neu,0.455,0.545,0.0,0.887,0.917,11,12,False,
8.srt,segment,48-59,neg,negative-leaning,neu,0.333,0.556,0.111,0.888,0.75,9,12,False,
8.srt,segment,60-71,neg,negative-leaning,neg,0.5,0.5,0.0,0.886,1.0,12,12,False,
8.srt,segment,72-83,neu,neutral,neu,0.182,0.818,0.0,0.843,0.917,11,12,False,
8.srt,segment,84-95,neg,negative-leaning,neg,0.556,0.444,0.0,0.927,0.75,9,12,False,
8.srt,segment,96-107,neg,negative-leaning,neu,0.273,0.636,0.091,0.895,0.917,11,12,False,
8.srt,segment,108-119,neg,negative-leaning,neg,0.556,0.444,0.0,0.934,0.75,9,12,False,
8.srt,segment,120-124,neu,neutral,neu,0.2,0.6,0.2,0.866,1.0,5,5,False,
9.srt,programme,-,neu,neutral,neu,0.094,0.898,0.008,0.908,0.841,127,151,False,
9.srt,segment,0-11,neu,neutral,neu,0.091,0.818,0.091,0.891,0.917,11,12,False,
9.srt,segment,12-23,neu,neutral,neu,0.091,0.909,0.0,0.923,0.917,11,12,False,
9.srt,segment,24-35,neu,neutral,neu,0.222,0.778,0.0,0.881,0.75,9,12,False,
9.srt,segment,36-47,neu,neutral,neu,0.167,0.833,0.0,0.911,1.0,12,12,False,
9.srt,segment,48-59,neu,neutral,neu,0.2,0.8,0.0,0.883,0.833,10,12,False,
9.srt,segment,60-71,neu,neutral,neu,0.0,1.0,0.0,0.928,0.833,10,12,False,
9.srt,segment,72-83,neu,neutral,neu,0.167,0.833,0.0,0.915,1.0,12,12,False,
9.srt,segment,84-95,neu,neutral,neu,0.0,1.0,0.0,0.933,0.75,9,12,False,
9.srt,segment,96-107,neu,neutral,neu,0.111,0.889,0.0,0.9,0.75,9,12,False,
9.srt,segment,108-119,neu,neutral,neu,0.111,0.889,0.0,0.857,0.75,9,12,False,
9.srt,segment,120-131,neu,neutral,neu,0.0,1.0,0.0,0.924,0.833,10,12,False,
9.srt,segment,132-143,neu,neutral,neu,0.0,1.0,0.0,0.947,0.917,11,12,False,
9.srt,segment,144-150,neu,neutral,neu,0.0,1.0,0.0,0.882,0.571,4,7,False,
